Val,Ticker,Returns
0.05,KBE,4.393057707907383
0.05,XRT,4.380158422654617
0.08,^GSPC,4.271789621132144
0.05,XME,4.239542989778213
0.08,XLE,4.1372436793961125
0.05,OIH,4.126464858168062
0.08,XLF,4.109499352977852
0.08,XLI,4.043508710852678
0.05,IYE,3.9821022997853626
0.05,ITB,3.9755894469681805
0.08,XLV,3.948562244448727
0.05,XHB,3.9473840205513158
0.08,XHB,3.9285394812331376
0.08,ITB,3.925449680989613
0.08,XLB,3.9206902199150346
0.08,XOP,3.915286322576505
0.03,XRT,3.9007635143109765
0.05,XOP,3.8907150055998665
0.08,KBE,3.888064459515231
0.08,XRT,3.887695958955485
0.03,KBE,3.8601401669532662
0.08,XME,3.8481258609364355
0.08,IYE,3.8466577893579856
0.1,^GSPC,3.831474202265315
0.08,OIH,3.8177804162864692
0.05,XLF,3.7866202813583696
0.03,XME,3.7389803740563208
0.05,XLE,3.73298620167752
0.05,XLI,3.7320053678404133
0.1,XLE,3.730767989378087
0.1,XLF,3.710369738433498
0.05,^GSPC,3.6985356735340438
0.1,XLI,3.670589594880366
0.1,XLV,3.6286957994013167
0.05,XLB,3.6142779830688325
0.1,ITB,3.604614977534031
0.1,XLB,3.604291324230074
0.1,XHB,3.5978163325950754
0.05,XLV,3.5949206325875394
0.1,XOP,3.5811231618682644
0.1,IYE,3.5353196453021956
0.03,OIH,3.5305728316115843
0.1,XRT,3.514983480181048
0.1,KBE,3.5115209455293677
0.1,XME,3.486878589467395
0.13,^GSPC,3.48182489018659
0.1,OIH,3.4712836748605826
0.13,XLE,3.402325506910036
0.13,XLF,3.38598596494311
0.13,XLI,3.3617182201273477
0.13,XLV,3.341096542007813
0.13,XLB,3.3161119165033113
0.13,ITB,3.3106960526274407
0.13,XHB,3.301442126937633
0.13,XOP,3.285189852597267
0.03,XOP,3.2610393580621593
0.13,IYE,3.25240349829654
0.13,XRT,3.2309630358460946
0.03,IYE,3.225733051132275
0.13,KBE,3.218444571988734
0.03,XHB,3.209659867333103
0.13,XME,3.2048938632548083
0.13,OIH,3.201060170508634
0.15,^GSPC,3.200951116797234
0.03,ITB,3.163919674700339
0.15,XLE,3.134859076832044
0.15,XLF,3.1254109163391233
0.03,XLF,3.1217755392961597
0.15,XLI,3.1116248155282964
0.15,ITB,3.1031855737972354
0.15,XLV,3.0965453540276497
0.15,XHB,3.0821138167001667
0.15,XLB,3.0784568236203382
0.18,KBE,3.068141759828295
0.18,XRT,3.066215329167877
0.2,XRT,3.0626800254981865
0.2,KBE,3.0621337318556687
0.2,^GSPC,3.058482156133071
0.15,XOP,3.0558587425779695
0.15,XRT,3.0541742043594335
0.15,IYE,3.0522638635278647
0.15,KBE,3.0504931556928234
0.18,^GSPC,3.0387692176867502
0.2,ITB,3.035142168207602
0.2,XLE,3.0347167768924885
0.2,XLF,3.030132713284485
0.2,XME,3.0257967816415134
0.18,ITB,3.0232796540124256
0.2,XLI,3.0229658066523974
0.2,XHB,3.0228067474887896
0.18,XME,3.02024340512283
0.2,IYE,3.0166725196494255
0.18,XLE,3.0116016041144276
0.2,OIH,3.0113328042881515
0.2,XLV,3.0101666145694566
0.15,XME,3.0088670723636013
0.18,XLF,3.0082892016977025
0.15,OIH,3.00729805300226
0.18,XHB,3.0067117316340606
0.2,XOP,3.004750571984615
0.18,IYE,3.002693485378154
0.18,XLI,3.0008469707870877
0.18,OIH,2.999578432342175
0.2,XLB,2.995721066466198
0.18,XLV,2.9850441388321065
0.18,XOP,2.9831735338284022
0.18,XLB,2.969477413172071
0.03,XLE,2.959000682774983
0.03,XLI,2.9053337194316877
0.03,XLV,2.666879016461724
0.03,XLB,2.6515577290508823
0.03,^GSPC,2.237122849226885
